"Search query: (((causality OR causal) AND ((""0000""[Date - Publication] : ""2022""[Date - Publication]))"
Year,Count
2023,533
2022,299993
2021,415180
2020,431173
2019,402422
2018,395398
2017,394693
2016,399655
2015,411590
2014,410826
2013,408669
2012,394762
2011,378212
2010,357085
2009,336361
2008,321106
2007,304849
2006,289918
2005,270306
2004,248707
2003,235788
2002,219112
2001,212850
2000,204556
1999,191064
1998,184057
1997,172757
1996,166741
1995,162380
1994,156127
1993,150928
1992,145509
1991,141757
1990,137456
1989,128489
1988,118459
1987,109900
1986,102343
1985,99304
1984,94196
1983,89072
1982,83616
1981,78378
1980,74654
1979,74205
1978,69969
1977,65608
1976,62284
1975,62815
1974,62908
1973,58518
1972,56448
1971,53847
1970,50558
1969,47980
1968,44610
1967,37650
1966,30230
1965,16136
1964,2914
1963,1424
1962,8595
1961,12722
1960,11900
1959,10552
1958,9591
1957,10467
1956,10230
1955,9570
1954,8394
1953,7235
1952,5785
1951,3061
1950,372
1949,1345
1948,2195
1947,2008
1946,2372
1945,876
1944,17
1943,7
1942,6
1941,5
1940,8
1939,9
1938,7
1937,11
1936,10
1935,4
1934,12
1933,13
1932,10
1931,13
1930,21
1929,20
1928,23
1927,25
1926,25
1925,23
1924,17
1923,18
1922,18
1921,15
1920,10
1919,18
1918,10
1917,8
1916,22
1915,11
1914,10
1913,9
1912,14
1911,13
1910,6
1909,3
1908,12
1907,11
1906,9
1905,22
1904,11
1903,24
1902,9
1901,7
1900,7
1899,8
1898,17
1897,7
1896,5
1895,12
1894,6
1893,5
1892,14
1891,9
1890,12
1889,9
1888,15
1887,5
1886,3
1885,6
1884,7
1883,9
1882,6
1881,6
1880,7
1879,11
1878,6
1877,8
1876,2
1875,6
1874,5
1873,6
1872,2
1869,1
1867,3
1866,1
1861,2
1860,1
1859,1
1858,3
1851,1
1848,1
1844,2
1842,1
1833,5
1832,3
1825,1
1820,1
1788,1
