"Search query: (((causality OR causal) AND (neurology)) ) AND ((""0000""[Date - Publication] : ""2022""[Date - Publication]))"
Year,Count
2023,20
2022,15859
2021,21016
2020,20133
2019,17369
2018,16961
2017,16713
2016,16211
2015,15098
2014,13509
2013,9558
2012,7974
2011,7495
2010,7005
2009,6672
2008,6417
2007,5905
2006,5816
2005,5294
2004,5055
2003,4589
2002,4011
2001,3727
2000,3690
1999,3490
1998,3248
1997,2900
1996,2526
1995,2468
1994,2419
1993,2506
1992,2077
1991,2047
1990,1849
1989,1463
1988,1560
1987,750
1986,280
1985,247
1984,223
1983,226
1982,183
1981,238
1980,166
1979,187
1978,151
1977,137
1976,164
1975,133
1974,142
1973,126
1972,105
1971,109
1970,144
1969,100
1968,162
1967,87
1966,55
1965,22
1964,1
1963,1
1962,31
1961,57
1960,39
1959,15
1958,20
1957,23
1956,30
1955,29
1954,12
1953,16
1952,12
1951,2
1947,2
1945,1
