"Search query: (((causality OR causal) AND (neuroscience)) ) AND ((""0000""[Date - Publication] : ""2022""[Date - Publication]))"
Year,Count
2023,23
2022,11632
2021,16149
2020,15999
2019,14723
2018,14639
2017,13991
2016,13740
2015,12674
2014,10576
2013,7145
2012,5679
2011,5440
2010,5112
2009,4578
2008,4446
2007,4069
2006,3791
2005,3253
2004,2915
2003,2657
2002,2326
2001,2213
2000,1979
1999,1828
1998,1460
1997,1149
1996,893
1995,941
1994,788
1993,703
1992,578
1991,491
1990,414
1989,273
1988,240
1987,132
1986,53
1985,31
1984,31
1983,34
1982,23
1981,22
1980,19
1979,14
1978,19
1977,17
1976,11
1975,2
1974,11
1973,2
1972,9
1971,8
1970,14
1969,9
1968,8
1967,5
1966,5
1965,5
1964,4
1962,1
1961,1
1960,3
1959,1
1958,1
1957,1
1956,2
1955,3
1954,4
1953,2
1952,1
1950,1
1948,1
