"Search query: (((causality OR causal) AND (psychiatry)) ) AND ((""0000""[Date - Publication] : ""2022""[Date - Publication]))"
Year,Count
2023,23
2022,8597
2021,11726
2020,12020
2019,11503
2018,11742
2017,11716
2016,11421
2015,11237
2014,10220
2013,8151
2012,7135
2011,6780
2010,6781
2009,6017
2008,5730
2007,5418
2006,5091
2005,4688
2004,4446
2003,4158
2002,3772
2001,3742
2000,3518
1999,3489
1998,3202
1997,2874
1996,2566
1995,2307
1994,2518
1993,2296
1992,2207
1991,2135
1990,2047
1989,1799
1988,1824
1987,1352
1986,1109
1985,941
1984,849
1983,759
1982,638
1981,543
1980,481
1979,528
1978,500
1977,562
1976,568
1975,579
1974,528
1973,459
1972,419
1971,419
1970,363
1969,345
1968,284
1967,267
1966,272
1965,95
1964,14
1963,10
1962,40
1961,64
1960,58
1959,39
1958,48
1957,46
1956,64
1955,54
1954,52
1953,27
1952,33
1951,25
1950,1
1949,7
1948,18
1947,16
1946,25
1945,5
