"Search query: (((causality OR causal) AND (clinical)) ) AND ((""0000""[Date - Publication] : ""2022""[Date - Publication]))"
Year,Count
2023,122
2022,111413
2021,150620
2020,153486
2019,137801
2018,133286
2017,129879
2016,126069
2015,122563
2014,114722
2013,102793
2012,94670
2011,88848
2010,81810
2009,75974
2008,71695
2007,67220
2006,63434
2005,60878
2004,55339
2003,51824
2002,46936
2001,44278
2000,41810
1999,38789
1998,36997
1997,34733
1996,32231
1995,30852
1994,29614
1993,26664
1992,25231
1991,24155
1990,23253
1989,21527
1988,17038
1987,14309
1986,12571
1985,12248
1984,11184
1983,10379
1982,8789
1981,8381
1980,8008
1979,7937
1978,7214
1977,7151
1976,7312
1975,6945
1974,3311
1973,2876
1972,2696
1971,2702
1970,2655
1969,2422
1968,2329
1967,1892
1966,1491
1965,789
1964,158
1963,70
1962,286
1961,385
1960,378
1959,358
1958,327
1957,350
1956,374
1955,366
1954,285
1953,212
1952,189
1951,117
1950,17
1949,27
1948,47
1947,40
1946,43
1945,12
1939,1
1938,1
1936,5
1934,3
1933,2
1931,2
1930,1
1929,2
1928,2
1927,1
1926,1
1925,1
1924,3
1923,1
1922,1
1920,2
1919,2
1917,2
1916,4
1915,1
1912,1
1910,1
1908,1
1905,1
1896,1
1891,1
