"Search query: (((causality OR causal) AND (economy)) ) AND ((""0000""[Date - Publication] : ""2022""[Date - Publication]))"
Year,Count
2023,3
2022,3958
2021,6199
2020,7212
2019,6592
2018,6476
2017,6318
2016,5860
2015,5662
2014,5235
2013,4855
2012,4472
2011,4153
2010,3899
2009,3695
2008,3353
2007,3327
2006,2985
2005,2681
2004,2497
2003,2320
2002,2230
2001,2210
2000,2143
1999,1884
1998,1832
1997,1689
1996,1542
1995,1247
1994,1199
1993,1039
1992,803
1991,771
1990,629
1989,545
1988,520
1987,370
1986,348
1985,324
1984,270
1983,210
1982,210
1981,192
1980,198
1979,216
1978,179
1977,152
1976,122
1975,153
1974,177
1973,140
1972,120
1971,115
1970,66
1969,70
1968,68
1967,49
1966,39
1965,24
1964,3
1963,4
1962,5
1961,3
1960,1
1959,9
1958,4
1957,10
1956,8
1955,13
1954,12
1953,6
1952,7
1951,3
1949,2
