"Search query: (((causality OR causal) AND (imaging)) ) AND ((""0000""[Date - Publication] : ""2022""[Date - Publication]))"
Year,Count
2023,31
2022,30532
2021,44422
2020,47010
2019,44254
2018,44304
2017,43979
2016,41527
2015,37221
2014,36636
2013,36363
2012,34871
2011,33180
2010,31045
2009,29382
2008,26834
2007,24771
2006,22463
2005,20840
2004,18804
2003,17488
2002,15561
2001,14541
2000,14110
1999,13290
1998,12892
1997,11902
1996,11089
1995,10556
1994,9489
1993,9524
1992,8878
1991,8670
1990,7452
1989,6507
1988,6024
1987,5113
1986,4795
1985,4964
1984,4734
1983,4231
1982,4008
1981,3795
1980,3588
1979,3630
1978,3185
1977,2801
1976,2833
1975,3393
1974,5001
1973,4649
1972,4359
1971,3980
1970,3551
1969,3575
1968,3069
1967,2267
1966,959
1965,100
1964,40
1963,18
1962,48
1961,64
1960,47
1959,27
1958,17
1957,16
1956,27
1955,23
1954,22
1953,20
1952,8
1951,3
1950,1
1949,5
1948,6
1947,2
1946,5
1945,1
