"Search query: (((causality OR causal) AND (neuro imaging)) ) AND ((""0000""[Date - Publication] : ""2022""[Date - Publication]))"
Year,Count
2023,2
2022,4073
2021,5547
2020,5498
2019,4909
2018,5057
2017,5010
2016,4532
2015,3782
2014,3530
2013,2702
2012,2296
2011,2099
2010,1921
2009,1911
2008,1830
2007,1599
2006,1520
2005,1514
2004,1363
2003,1174
2002,920
2001,822
2000,820
1999,746
1998,742
1997,622
1996,540
1995,518
1994,480
1993,487
1992,412
1991,398
1990,342
1989,272
1988,248
1987,110
1986,37
1985,33
1984,23
1983,25
1982,24
1981,31
1980,17
1979,29
1978,10
1977,8
1976,9
1975,19
1974,23
1973,18
1972,15
1971,11
1970,12
1969,12
1968,13
1967,4
1966,7
1960,1
1958,1
